8429132, 3885892
8406782, 3948871
9117373, 3929495
8635353, 4053448
9788327, 4133915
8480933, 3884134
8242244, 4149537
8558341, 4096566
8331778, 3887453
10123688, 4001591
15951469, 11555959
17307915, 5035402
10800035, 3954456
8132883, 3891681
9396043, 4120227
10086825, 4006263
8222574, 3905475
18375841, 8930985
11850858, 7649985
16853750, 4422068
10664364, 4064429
15468814, 11338186
17128615, 11019835
10210796, 4938316
10820717, 3809618
36948233, 19904016
35528364, 17616510
39446709, 17664049
39845138, 11596663
8501839, 3936471
8616288, 4120751
8776349, 4081771
19862473, 12839185
27522665, 12141353
31425913, 5827422
57345379, 52819824
47291192, 33188933
44573601, 33573316
26400284, 22017930
51191441, 38894447
35898033, 21715014
61958325, 29657351
8204935, 3998576
15301068, 5262637
19603435, 8020576
15306812, 10628001
19298373, 8201892
10796983, 5968026
7750731, 3731457
25404583, 11849165
28056089, 11652889
33551005, 24816770
35014353, 4496113
15514123, 7995669
21193008, 9450520
8158746, 3824446
22234314, 11731277
23228367, 16922074
16653101, 11286250
50051412, 45478406
47005861, 34073816
48471265, 29535130
27951152, 23751619
40246862, 17185909
60192312, 33544679
14098194, 9115889
9071045, 4306009
15408306, 3760418
19605965, 8267830
21947737, 12204562
31045979, 15170617
55287281, 20733076
28227474, 9231351
37194429, 17386875
38612869, 22121020
53333681, 23973723
15270592, 5585041
16725006, 5351915
17725969, 3810718
12371702, 6781725
17937574, 8610433
14177480, 7979471
18683889, 3810619
24935063, 5455173
28924048, 12043734
32131259, 19171843
36282208, 16542792
18441640, 8492590
21068550, 8482682
16228194, 3787107
22195276, 9703663
7968250, 3778201
11522256, 7175743
29867346, 16666484
30237394, 19127946
19100734, 12133944
30126642, 26068362
13482161, 9244474
10968874, 5517984
7920443, 3740553
8087994, 3881280
18133653, 7213367
22492794, 5069228
11998987, 7560818
48001174, 34660225
18070393, 13940848
53825437, 38322736
65141157, 39947737
40645812, 35523793
47845423, 6625834
85305429, 43602816
18137377, 11760015
21720971, 6048101
9707883, 5308959
16204037, 11700599
20397079, 12833814
21174099, 6721596
19080127, 12077160
27299716, 11200219
27510278, 16358789
7988653, 3941573
19792692, 7639106
21789368, 3891620
28137398, 5015563
7782295, 3764009
9348065, 5006076
21485809, 8077975
29696930, 15943373
31716417, 15436121
