20290741, 347
51238968, 357
49192193, 405
23403200, 403
22482151, 433
23851577, 437
28911697, 393
16810861, 405
21560882, 405
17821774, 343
17235645, 370
27201619, 385
59357445, 383
31472698, 428
32472967, 389
14795087, 460
35322074, 390
16513939, 398
39882937, 422
50672393, 372
58018882, 400
19339659, 473
27071268, 419
67209398, 428
35569861, 753
29086288, 414
77228261, 438
66125212, 440
58543378, 395
73873491, 343
53211994, 376
82121927, 396
75081725, 348
19948666, 381
48193008, 373
69725207, 415
47629707, 370
69392794, 400
18262569, 410
15399096, 397
33314256, 385
37566742, 360
45080116, 406
12244483, 334
18634226, 416
49793684, 373
29221733, 368
29769598, 348
25024656, 423
41214535, 478
38790157, 397
66603253, 401
135344177, 471
20891811, 428
17760760, 387
49652706, 372
40869750, 383
71502233, 360
16773116, 388
25451110, 388
31969622, 428
41180027, 399
33627042, 366
30621662, 403
12134400, 430
27650824, 382
17831579, 390
18022507, 398
12074192, 372
24738171, 415
55881980, 435
74620145, 412
68763535, 402
12246385, 413
47095668, 391
43812589, 416
45705536, 406
44435544, 379
20011178, 400
16617239, 482
36359085, 370
40651724, 387
37289232, 383
22353086, 463
17400977, 390
23276397, 683
31478066, 453
28707421, 396
15565212, 443
18418637, 407
22620801, 373
19437939, 419
32141082, 424
39101237, 395
13488390, 426
12903853, 412
27814024, 410
37348817, 427
20474123, 414
15865182, 377
15619896, 429
11979895, 373
41378830, 12128
14854894, 413
118688421, 356
18988628, 347
17782440, 333
23991935, 433
36478826, 416
27246713, 412
17336517, 379
12783151, 410
23260321, 411
17983498, 367
11956766, 390
21952312, 410
12304479, 437
32318560, 441
29955228, 447
12454972, 410
22822703, 420
18324785, 475
45039525, 21747
52168815, 353
28850062, 379
28519250, 381
14197967, 455
40400060, 409
44308126, 364
54838407, 369
64886311, 365
19511584, 368
22558102, 435
59247329, 373
51677394, 387
54775936, 370
72795401, 422
12509881, 430
31517371, 383
55458029, 354
41212763, 443
42139787, 415
12705874, 405
13313509, 13282
26655487, 379
35735118, 386
45649269, 347
12158474, 434
12125601, 365
48792350, 376
45351926, 383
55426356, 397
12272452, 384
12932063, 410
28119682, 422
61974933, 355
45962352, 407
65641814, 375
12129564, 417
26363043, 395
26568506, 402
46666775, 375
42898552, 370
18513474, 424
17542227, 382
38375155, 375
35368507, 427
68283856, 375
12206978, 396
28138715, 436
20958223, 399
47627746, 384
60362650, 395
85578692, 358
11980233, 378
32128036, 468
36194890, 445
44631480, 438
23963471, 423
12459263, 400
18040734, 362
30561629, 415
25132164, 506
20514788, 440
166058096, 426
28763812, 400
16853525, 415
31896748, 448
18620705, 400
20819327, 427
35451575, 436
30234615, 443
37328012, 388
20051353, 384
24868481, 403
27591538, 369
39640127, 366
39733686, 374
15734795, 383
16881013, 412
12416069, 363
37046289, 386
60722369, 480
14051523, 436
19245046, 420
134325066, 453
31040799, 408
32557582, 367
61216521, 388
18531899, 372
13801511, 417
27711605, 400
23620680, 386
11722773, 412
14615369, 421
12045218, 409
23626661, 384
39144192, 377
27242024, 410
14900731, 380
12054829, 405
12397219, 433
30505608, 422
34068440, 404
46306318, 389
12674590, 363
12371560, 397
41625517, 401
30591315, 402
41495791, 357
12790627, 450
14531687, 389
29775794, 365
26732625, 361
35717795, 349
20711687, 374
16886040, 396
40276207, 434
41075344, 384
15835456, 400
173090287, 376
12557810, 351
12626453, 408
38192211, 370
31586831, 393
13017646, 460
